isolate.assembly,isolate.id,coamox.mic,coamox.mic_numeric,location_category
24,OXEC-24,8.2,8.2,Both
259,OXEC-259,32.2,32.2,Not detected
174,OXEC-174,16.2,16.2,Both
260,OXEC-260,8.2,8.2,Both
493,OXEC-493,8.2,8.2,Not detected
97,OXEC-97,8.2,8.2,Both
476,OXEC-476,16.2,16.2,Both
310,OXEC-310,8.2,8.2,Both
351,OXEC-351,16.2,16.2,Both
483,OXEC-483,4.2,4.2,Both
170,OXEC-170,>32.2,32.2,Not detected
406,OXEC-406,8.2,8.2,Both
487,OXEC-487,8.2,8.2,Plasmid only
262,OXEC-262,16.2,16.2,Both
95,OXEC-95,32.2,32.2,Not detected
353,OXEC-353,16.2,16.2,Both
305,OXEC-305,8.2,8.2,Both
167,OXEC-167,8.2,8.2,Both
166,OXEC-166,8.2,8.2,Both
500,OXEC-500,>32.2,32.2,Both
263,OXEC-263,>32.2,32.2,Not detected
93,OXEC-93,>32.2,32.2,Both
94,OXEC-94,>32.2,32.2,Not detected
355,OXEC-355,16.2,16.2,Both
92,OXEC-92,>32.2,32.2,Both
19,OXEC-19,8.2,8.2,Both
264,OXEC-264,8.2,8.2,Both
265,OXEC-265,>32.2,32.2,Not detected
408,OXEC-408,32.2,32.2,Both
10,OXEC-10,32.2,32.2,Both
489,OXEC-489,16.2,16.2,Both
307,OXEC-307,32.2,32.2,Both
266,OXEC-266,16.2,16.2,Both
546,OXEC-546,>32.2,32.2,Both
494,OXEC-494,8.2,8.2,Both
16,OXEC-16,16.2,16.2,Both
477,OXEC-477,32.2,32.2,Both
510,OXEC-510,16.2,16.2,Both
380,OXEC-380,32.2,32.2,Both
268,OXEC-268,8.2,8.2,Both
540,OXEC-540,16.2,16.2,Both
521,OXEC-521,4.2,4.2,Both
411,OXEC-411,32.2,32.2,Both
410,OXEC-410,16.2,16.2,Both
524,OXEC-524,8.2,8.2,Both
512,OXEC-512,16.2,16.2,Both
197,OXEC-197,8.2,8.2,Both
