"tip","mean","median","sd","CI_low","CI_high"
"477",-1.20476579423155,-1.19375626390548,0.791588914949752,-2.78913859434994,0.354355819256263
"537",-1.20280180590653,-1.19165027573647,0.791745384509066,-2.80446745770172,0.337418728804384
"518",-1.20275975464571,-1.19230418958097,0.791456512061275,-2.78571310636522,0.349305718091698
"344",-1.18669583189677,-1.16062069484999,1.24432466293362,-3.73576590046827,1.20795784287959
"446",-1.18628901825376,-1.15975250480976,1.24302533351409,-3.65299068817626,1.28071829035851
"406",-1.18536486864001,-1.1591595789834,1.24805541346926,-3.67817322890156,1.26893539468395
"250",-1.17081052403602,-1.11038880754967,1.13876372008164,-3.50792198479528,0.944853060507576
"267",-1.14127907202431,-1.13487194985507,0.799950836318528,-2.76008044299556,0.397215914979026
"131",-1.11871035070386,-1.08541642791178,0.873280366352561,-2.83529217783606,0.5796297860952
"522",-1.10429075312499,-1.10064165540526,0.806570832701593,-2.71053040470378,0.477382614957914
"430",-1.02688863693993,-1.00760658806899,1.29973067319536,-3.59380917387387,1.57520327001187
"286",-0.986653161178044,-0.960352385271764,1.23588493929221,-3.51467764908451,1.40904772052781
"536",-0.96421930267111,-0.968960183516485,0.781119875738035,-2.4949489510672,0.596117743192976
"260",-0.963303127086374,-0.967998052327837,0.780674577949245,-2.53817479209079,0.547135122990954
"396",-0.891423475600775,-0.8749003008569,1.096397491164,-3.04853579163101,1.2819157751304
"198",-0.889085733024698,-0.875949471728384,1.09685520613706,-3.0258502665354,1.31374110850161
"6",-0.834318303696686,-0.81289571258371,0.86703288373873,-2.61036860838256,0.800041025570749
"456",-0.834138568344225,-0.817247608643052,1.2178520458423,-3.26498827435324,1.56838532936059
"55",-0.827378585207495,-0.837891301422945,0.782546424200964,-2.38623761504955,0.698825879742149
"139",-0.81818591208329,-0.801476604117625,1.18806389632252,-3.22161705957112,1.47733897983262
"322",-0.815205093855715,-0.797708537796601,1.28981638823447,-3.42600570495683,1.67952969800585
"71",-0.80914102830755,-0.784415960208527,0.90245315971176,-2.59752344049552,0.96208032485353
"533",-0.80245834021557,-0.792861412919476,1.24814296695743,-3.33447295330909,1.64551258265821
"524",-0.802393300335832,-0.789805653594899,1.24805524234095,-3.31156096440538,1.65239642159872
"277",-0.794409499931639,-0.77740263307295,1.2852554925714,-3.37228763135862,1.71382794048368
"245",-0.784046015065028,-0.768305724291601,1.29999904589752,-3.41852279299753,1.74619261491477
"333",-0.777755290580462,-0.760968882976382,1.29105183651467,-3.38586427250734,1.74421131868291
"482",-0.75578763317841,-0.741174327906642,1.33362608899344,-3.41644880668499,1.87168745063112
"288",-0.732746307937279,-0.724205142870823,1.33398275054337,-3.37242077522847,1.95515287886925
"500",-0.727015372296398,-0.719846177197316,1.31285223379168,-3.33227415468492,1.881852132817
"475",-0.720674505252955,-0.715865806221241,1.21072383521839,-3.15927715802149,1.62845733104425
"143",-0.719822546590654,-0.717114892851282,1.21015605879234,-3.13748844864315,1.67239674166042
"170",-0.71534647444417,-0.70825926909488,1.27483241907302,-3.27029082468743,1.79349180230512
"342",-0.714526399883867,-0.709419293990096,1.21067778244203,-3.1137122158639,1.6806748707922
"39",-0.713598297100885,-0.706052179585047,1.22432434415257,-3.13863120392942,1.73543891851776
"76",-0.713277759442529,-0.701920644797814,1.30532916264698,-3.37932885808896,1.8173567937366
"61",-0.710500659970217,-0.682664482387979,0.755735480645805,-2.21301755814487,0.748555058660172
"299",-0.702508689900652,-0.674865922931191,0.752571388144873,-2.19893901864801,0.758324422418951
"265",-0.692638711471587,-0.671235801970855,1.38886473515255,-3.48355138004531,2.04825105239536
"132",-0.690567566823723,-0.687788752198741,1.22058611499942,-3.14702442496372,1.7007784912302
"94",-0.669757554265592,-0.671919708929415,1.13433976099515,-2.90088453206378,1.62088695076265
"34",-0.669288649545023,-0.672548177741343,1.13444288457888,-2.94982553354382,1.56872063332278
"21",-0.648697581746152,-0.60876073713073,0.83193137924533,-2.31546557737023,0.96562642326211
"40",-0.644186415877579,-0.643510584398971,0.999733845161444,-2.59246217585341,1.37225154141553
"507",-0.617028693601107,-0.619093094494607,1.21546007767761,-3.03249941177317,1.79338312969245
"264",-0.606561817771923,-0.611574925656622,1.21651748855773,-3.04795598412882,1.79042492026505
"25",-0.568205333489455,-0.548784811101224,0.795733291746556,-2.18646020484884,0.952767272991663
"179",-0.566147299530978,-0.547276731879229,0.796091212866347,-2.17487436303873,0.958100584441098
"340",-0.554569164538071,-0.538913757928656,0.794712873268779,-2.115786373033,1.01137563248474
"517",-0.540369766938572,-0.546515222364607,1.2145500544611,-2.92621207115171,1.89164932522374
